순위,역코드,역명,일평균승차인원
1,222,강남,66804
2,216,잠실(2),55113
3,230,신림,52491
4,232,구로디지털단지,48437
5,239,홍대입구,44655
6,220,선릉,41875
7,234,신도림,40694
8,228,서울대입구,39230
9,219,삼성,39142
10,221,역삼,37553
11,329,고속터미널(3),36169
12,2748,가산디지털단지(7),35463
13,150,서울역(1),33698
14,311,연신내(3),31370
15,332,양재,30074
16,226,사당(2),30010
17,202,을지로입구,29504
18,212,건대입구(2),29180
19,414,수유,28443
20,211,성수,27089
21,240,신촌,26792
22,152,종각,26292
23,223,교대(2),26093
24,326,압구정,25892
25,420,혜화,25506
26,214,강변,25417
27,327,신사,25319
28,238,합정(2),25245
29,413,쌍문,24407
30,2519,까치산(5),24087
31,331,남부터미널,23709
32,2518,화곡,23264
33,416,미아사거리,23171
34,2534,광화문,23154
35,227,낙성대,22673
36,231,신대방,21981
37,2527,여의도(5),21644
38,412,창동,21587
39,233,대림(2),20711
40,153,종로3가(1),20665
41,433,사당(4),20150
42,423,충무로(4),20013
43,229,봉천,19846
44,213,구의,19062
45,2750,광명사거리,18749
46,425,회현,18577
47,2522,오목교,18395
48,2733,학동,18385
49,236,영등포구청(2),18201
50,154,종로5가,18053
51,2749,철산,17593
52,158,청량리,17530
53,210,뚝섬,17362
54,201,시청(2),17180
55,217,잠실새내,16992
56,310,구파발,16898
57,2819,문정,16761
58,418,성신여대입구,16749
59,224,서초,16726
60,235,문래,16719
61,417,길음,16454
62,2715,노원(7),16328
63,203,을지로3가(2),16165
64,2734,논현,16090
65,411,노원(4),16078
66,421,동대문(4),16040
67,151,시청(1),15961
68,410,상계,15905
69,432,이수(총신대입구),15703
70,2549,강동,15660
71,2516,발산,15631
72,2548,천호(5),15534
73,2811,암사,15472
74,2731,청담,15399
75,317,경복궁,15286
76,237,당산,15265
77,318,안국,15171
78,2544,장한평,14954
79,157,제기동,14742
80,2611,응암,14618
81,2627,공덕(6),14516
82,314,홍제,14422
83,2717,하계,14382
84,2722,상봉(7),14322
85,2820,장지,14272
86,2533,서대문,14126
87,339,수서,13912
88,2724,사가정,13797
89,2521,목동,13771
90,424,명동,13747
91,312,불광(3),13705
92,225,방배,13626
93,2543,답십리,13439
94,2554,상일동,13370
95,2743,신대방삼거리,13349
96,2736,고속터미널(7),13325
97,208,왕십리(2),13284
98,2738,이수(7),12933
99,2747,남구로,12907
100,2723,면목,12886
101,2732,강남구청,12875
102,2812,천호(8),12774
103,2546,아차산,12665
104,415,미아,12501
105,4129,봉은사,12357
106,429,신용산,12261
107,2727,군자(7),12213
108,2622,망원,12066
109,313,녹번,12043
110,422,동대문역사문화공원(4),12021
111,2563,미사,11896
112,2815,잠실(8),11878
113,2756,신중동,11671
114,2716,중계,11610
115,206,신당(2),11550
116,2517,우장산,11527
117,2621,마포구청,11520
118,207,상왕십리,11454
119,2737,내방,11425
120,2520,신정,11374
121,156,신설동(1),11350
122,419,한성대입구,11272
123,2529,마포,11249
124,2823,남한산성입구,11241
125,2530,공덕(5),11240
126,215,잠실나루,11160
127,2623,합정(6),10998
128,2619,디지털미디어시티(6),10917
129,2713,수락산,10892
130,409,당고개,10824
131,330,교대(3),10795
132,2547,광나루,10769
133,323,약수(3),10594
134,2617,새절,10585
135,2758,상동,10426
136,2728,어린이대공원,10424
137,427,숙대입구,10384
138,2729,건대입구(7),10340
139,2757,부천시청,10335
140,2714,마들,10276
141,205,동대문역사문화공원(2),10185
142,2645,석계(6),10167
143,2535,종로3가(5),10085
144,241,이대,10020
145,204,을지로4가(2),9948
146,2528,여의나루,9890
147,2745,신풍,9889
148,155,동대문(1),9873
149,2740,숭실대입구,9816
150,2718,공릉,9793
151,333,매봉,9674
152,2545,군자(5),9307
153,2761,부평구청(7),9299
154,2739,남성,9198
155,2721,중화,9178
156,2751,천왕,9161
157,2642,월곡,9149
158,335,대치,9083
159,2647,화랑대,9051
160,2821,복정(8),8897
161,2824,단대오거리,8777
162,2752,온수(7),8536
163,2741,상도,8527
164,242,아현,8487
165,2631,이태원,8479
166,159,동묘앞(1),8460
167,2813,강동구청,8453
168,249,신정네거리,8424
169,2720,먹골,8423
170,2618,증산,8376
171,426,서울역(4),8216
172,2726,중곡,8189
173,2640,안암,8143
174,2742,장승배기,8000
175,320,을지로3가(3),7923
176,2744,보라매,7914
177,243,충정로(2),7899
178,2525,영등포시장,7896
179,4126,언주,7826
180,2551,굽은다리,7805
181,337,대청,7788
182,325,옥수,7775
183,2515,마곡,7749
184,338,일원,7684
185,319,종로3가(3),7658
186,2730,뚝섬유원지,7651
187,2755,춘의,7650
188,2712,도봉산(7),7628
189,4138,중앙보훈병원,7458
190,2553,고덕,7396
191,340,가락시장(3),7387
192,2644,돌곶이,7350
193,4127,선정릉,7287
194,2648,봉화산,7243
195,2760,굴포천,7188
196,2555,둔촌동,7097
197,2637,동묘앞(6),7089
198,2625,광흥창,7063
199,2552,명일,7059
200,2719,태릉입구(7),7033
201,2746,대림(7),6909
202,324,금호,6846
203,2540,행당,6731
204,2632,한강진,6681
205,2560,거여,6642
206,2550,길동,6629
207,2624,상수,6598
208,2513,김포공항(5),6541
209,4133,석촌(9),6528
210,2818,가락시장(8),6512
211,2626,대흥,6443
212,2636,신당(6),6428
213,2641,고려대,6403
214,2816,석촌(8),6385
215,2817,송파,6364
216,2753,까치울,6274
217,322,동대입구,6237
218,2616,구산,6138
219,218,종합운동장(2),6069
220,341,경찰병원,5995
221,430,이촌,5984
222,2523,양평(5),5945
223,316,독립문,5937
224,2639,보문,5926
225,209,한양대,5919
226,2557,방이,5757
227,2628,효창공원앞,5650
228,2511,방화,5616
229,2514,송정,5615
230,248,양천구청,5562
231,2822,산성,5468
232,4131,삼전,5442
233,2531,애오개,5437
234,2559,개롱,5254
235,4128,삼성중앙,5184
236,2561,마천,5140
237,2539,신금호,5106
238,2643,상월곡,5103
239,2725,용마산,5094
240,342,오금(3),4957
241,2814,몽촌토성,4833
242,2566,하남검단산,4805
243,2629,삼각지(6),4796
244,4132,석촌고분,4784
245,2735,반포,4781
246,2542,마장,4635
247,2536,을지로4가(5),4627
248,2565,하남시청,4594
249,4136,올림픽공원(9),4531
250,2646,태릉입구(6),4519
251,2512,개화산,4416
252,334,도곡,4409
253,2826,수진,4366
254,2630,녹사평,4247
255,2620,월드컵경기장,4190
256,2759,삼산체육관,4077
257,2827,모란(8),3947
258,328,잠원,3938
259,2754,부천종합운동장,3887
260,2825,신흥,3884
261,4134,송파나루,3865
262,2541,왕십리(5),3860
263,428,삼각지(4),3839
264,2613,불광(6),3768
265,2564,하남풍산,3767
266,2532,충정로(5),3744
267,2556,올림픽공원(5),3473
268,4130,종합운동장(9),3401
269,2524,영등포구청(5),3396
270,2526,신길(5),3297
271,2538,청구(5),3260
272,315,무악재,3257
273,309,지축,3185
274,2635,청구(6),3100
275,2612,역촌,3058
276,2558,오금(5),3030
277,246,신설동(2),3011
278,2638,창신,2905
279,2634,약수(6),2857
280,2562,강일,2745
281,431,동작,2637
282,244,용답,2373
283,2614,독바위,2350
284,2537,동대문역사문화공원(5),2156
285,4135,한성백제,2004
286,250,용두,1986
287,2711,장암,1945
288,2633,버티고개,1871
289,336,학여울,1723
290,245,신답,1314
291,247,도림천,1162
292,434,남태령,1041
293,4137,둔촌오륜,919
